psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
50118,23,U,1,1,2,1,2,52,4,1,3,1,3,2
50125,12,S,3,1,1,1,2,68,7,1,2,2,7,3
50127,51,U,3,1,1,1,2,43,5,2,1,2,6,2
50129,45,U,3,1,1,2,1,39,4,1,1,2,9,1
50135,18,S,2,1,1,1,2,78,8,1,1,2,6,2
50139,9,S,1,1,2,2,1,46,6,1,1,1,9,1
50141,42,R,1,1,2,1,2,61,4,1,1,2,6,2
50142,36,U,1,2, ,1,1,74,6,1, , , ,3
50143,34,S,1,1,3,2,1,40,5,1,2,2,6,1
50146,34,S,1,1,2,1,2,40,8,1,1,1,8,3
50147,21,S,3,1,1,2,2,81,3,1,5,2,4,1
50151,26,U,2,1,1,1,2,72,3,2,3,2,10,2
50159,39,U,2,1,1,1,2,31,5,2,6,1,1,2
50160,12,S,3,1,2,2,1,90,4,1,5,2,6,3
50161,42,S,1,1,2,1,2,56,5,1,1,2,7,2
50162,51,S,3,1,1,2,2,46,6,1,1,1,8,1
50166,36,R,1,1,2,2,1,65,4,1,3,2,3,3
50168,9,U,1,1,1,2,2,55,5,1,1,2,10,1
50169,45,U,3,1,1,1,2,63,3,1,1,2,6,3
50170,36,S,1,1,1,2,2,61,5,1,1,2,8,1
50174,23,R,1,1,1,1,2,64,7,1,1,2,6,2
50175,36,R,1,2, ,9,2,57,1,1, , , ,3
50181,42,R,1,1,1,2,2,99,5,1,1,2,10,1
50186,47,U,3,1,1,2,2,76,3,1,5,2,2,1
50188,37,U,3,1,2,1,2,36,8,1,1,1,7,2
50194,36,S,1,1,1,1,2,54,4,1,1,2,6,3
50198,9,S,1,1,1,2,1,55,4,1,1,1,7,1
50199,18,R,2,1,2,2,1,45,3,1,1,1,4,3
50203,23,R,1,1,4,1,1,18,2,1,6,2,7,3
50204,36,R,1,1,1,2,1,66,3,1,1,2,7,1
50208,18,R,2,1,1,2,1,52,3,1,3,2,7,3
50212,25,S,1,1,1,1,2,63,6,1,1,2,10,2
50215,39,U,2,1,1,1,2,53,3,1,1,2,6,2
50218,23,R,1,1,1,1,2,61,4,1,1,2,7,2
50219,39,S,2,1,1,1,2,66,5,1,4,2,3,2
50222,12,S,3,1,2,2,1,58,3,1,1,2,6,5
50232,36,R,1,2, ,2,2,60,8,1, , , ,1
50233,26,S,2,1,2,1,1,85,3,1,1,2,5,2
50236,26,S,2,1,1,1,1,99,8,9,1,2,10,2
50238,39,S,2,1,1,1,2,73,4,1,1,2,10,3
50240,12,S,3,1,1,2,2,49,4,1,1,1,5,1
50241,36,R,1,1,2,1,1,57,5,1,5,2,5,1
50245,12,S,3,1,1,2,1,33,8,3,1,1,8,3
50247,37,U,3,1,1,2,2,64,6,1,1,2,9,1
50249,36,S,1,1,3,1,1,43,5,1,2,1,4,2
50251,12,S,3,1,2,2,1,85,4,1,1,2,1,1
50252,42,U,1,1,1,1,2,81,6,1,5,2,3,2
50256,36,U,1,1,5,1,2,39,3,3,1,1,6,2
